FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,CorrectAnswer
R,FL,beach,beach,peach,beach,stop,affricate,onset,training,,1,1,beach,right
,CR,aid,aid,ate,aid,vowel,stop,offset,training,d,1,2,aid,right
,FL,they,they,say,they,fricative,vowel,onset,training,,1,3,they,right
,CR,pot,pot,pot,pod,stop,stop,offset,training,t,0,4,pot,left
V,FL,glean,glean,glean,green,stop,nasal,onset,training,,0,5,glean,left
,FL,bathe,bathe,bathe,base,stop,fricative,offset,training,,0,6,bathe,left
,CR,pond,pond,pound,pond,stop,stop,vowel,training,d,1,7,pond,right
R,FL,came,came,came,cane,stop,nasal,offset,training,,0,8,came,left
R,FL,tan,tan,ten,tan,stop,nasal,vowel,training,,1,9,tan,right
V,FL,vine,vine,vein,vine,fricative,nasal,vowel,training,,1,10,vine,right
,CR,lab,lab,lap,lab,liquid,stop,offset,training,b,1,11,lab,right
R,FL,buys,buys,buys,pies,stop,fricative,onset,training,,0,12,buys,left
,FL,rang,rang,ran,rang,liquid,nasal,offset,training,,1,13,rang,right
,CR,hood,hood,hood,hook,fricative,stop,offset,training,d,0,14,hood,left
,FL,clear,clear,clear,queer,stop,liquid,onset,training,,0,15,clear,left
,FL,holds,holds,holes,holds,fricative,fricative,offset,training,,1,16,holds,right
,CR,find,find,find,fond,fricative,stop,vowel,training,d,0,17,find,left
R,FL,gown,gown,gown,gone,stop,nasal,vowel,training,,0,18,pan,left
V,FL,cords,cords,cords,cores,stop,fricative,offset,training,,0,19,cords,left
,CR,vet,vet,wet,vet,fricative,stop,onset,training,t,1,20,vet,right
R,FL,seen,seen,seem,seen,fricative,nasal,offset,training,,1,21,seen,right
V,FL,green,green,grin,green,stop,nasal,vowel,training,,1,22,green,right
,CR,white,white,white,wide,approximant,stop,offset,training,t,0,23,white,left
,FL,falls,falls,falls,FALSE,fricative,fricative,offset,training,,0,24,falls,left
R,FL,sin,sin,sing,sin,fricative,nasal,offset,training,,1,25,sin,right
,FL,lose,lose,lose,loose,liquid,fricative,offset,training,,0,26,lose,left
,CR,head,head,head,heck,fricative,stop,offset,training,d,0,27,head,left
,FL,clown,clown,clone,clown,stop,nasal,vowel,training,,1,28,clown,right
,FL,path,path,pass,path,stop,fricative,offset,training,,1,29,path,right
,FL,train,train,train,chain,stop,nasal,onset,training,,0,30,train,left
,CR,look,look,luck,look,liquid,stop,vowel,training,k,1,31,look,right
,FL,though,though,though,so,fricative,vowel,onset,training,,0,32,though,left
R,FL,pies,pies,buys,pies,stop,fricative,onset,training,,1,33,pies,right
,CR,ride,ride,right,ride,liquid,stop,offset,training,d,1,34,ride,right
R,FL,peach,peach,beach,peach,stop,affricate,onset,training,,1,35,peach,right
V,FL,sun,sun,sun,soon,fricative,nasal,vowel,training,,0,36,sun,left
R,FL,win,win,win,wing,approximant,nasal,offset,training,,0,37,win,left
,CR,need,need,neat,need,nasal,stop,offset,training,d,1,38,need,right
,CR,beg,beg,beg,bed,stop,stop,offset,training,g,0,39,beg,left
R,FL,seem,seem,seem,seen,fricative,nasal,offset,training,,0,40,seem,left
,FL,beads,beads,beats,beads,stop,fricative,offset,training,,1,41,beads,right
,CR,peak,peak,pig,peak,stop,stop,vowel,training,k,1,42,peak,right
,FL,please,please,please,fleas,stop,fricative,onset,training,,0,43,please,left
,CR,put,put,pot,put,stop,stop,vowel,training,t,1,44,put,right
,CR,said,said,said,set,fricative,stop,offset,training,d,0,45,said,left
R,FL,fool,fool,fall,fool,fricative,liquid,vowel,training,,1,46,fool,right
,FL,clean,clean,clean,queen,stop,nasal,onset,training,,0,47,clean,left
,CR,shot,shot,shot,shock,fricative,stop,offset,training,t,0,48,shot,left
R,FL,tie,tie,die,tie,stop,vowel,onset,training,,1,49,tie,right
V,FL,some,some,some,sun,fricative,nasal,offset,training,,0,50,some,left
,CR,neat,neat,need,neat,nasal,stop,offset,training,t,1,51,neat,right
,FL,carve,carve,car,carve,stop,fricative,offset,training,,1,52,carve,right
R,FL,gone,gone,gown,gone,stop,nasal,vowel,training,,1,53,gone,right
,CR,pat,pat,pat,pad,stop,stop,offset,training,t,0,54,pat,left
,FL,fun,fun,phone,fun,fricative,nasal,vowel,training,,1,55,fun,right
,CR,not,not,nod,not,nasal,stop,offset,training,t,1,56,not,right
R,FL,wing,wing,wing,win,approximant,nasal,offset,training,,0,57,wing,left
,FL,serve,serve,sir,serve,fricative,fricative,offset,training,,1,58,serve,right
,CR,good,good,good,could,stop,stop,onset,training,d,0,59,good,left
,CR,dig,dig,dig,dick,stop,stop,offset,training,g,0,60,dig,left
R,FL,dime,dime,dime,time,stop,nasal,onset,training,,0,61,dime,left
,FL,curve,curve,curb,curve,stop,fricative,offset,training,,1,62,curve,right
,CR,wait,wait,wade,wait,approximant,stop,offset,training,t,1,63,wait,right
,FL,gong,gong,gong,gone,stop,nasal,offset,training,,0,64,gong,left
,CR,bed,bed,bed,bet,stop,stop,offset,training,d,0,65,bed,left
R,FL,pull,pull,pool,pull,stop,liquid,vowel,training,,1,66,pull,right
V,FL,thin,thin,thing,thin,fricative,nasal,offset,training,,1,67,thin,right
,CR,late,late,late,laid,liquid,stop,offset,training,t,0,68,late,left
,CR,lib,lib,lip,lib,liquid,stop,offset,training,b,1,69,lib,right
,FL,game,game,game,came,stop,nasal,onset,training,,0,70,game,left
,CR,shout,shout,shot,shout,fricative,stop,vowel,training,t,1,71,shout,right
V,FL,cores,cores,course,cores,stop,fricative,offset,training,,1,72,cores,right
V,FL,vein,vein,vein,wane,fricative,nasal,onset,training,,0,73,vein,left
,CR,bad,bad,bad,bat,stop,stop,offset,training,d,0,74,bad,left
,FL,rove,rove,robe,rove,liquid,fricative,offset,training,,1,75,rove,right
,CR,got,got,god,got,stop,stop,offset,training,t,1,76,got,right
V,FL,gum,gum,gum,gun,stop,nasal,offset,training,,0,77,gum,left
,CR,pet,pet,peck,pet,stop,stop,offset,training,t,1,78,pet,right
,FL,herds,herds,herds,hers,fricative,fricative,offset,training,,0,79,herds,left
,CR,night,night,neck,night,nasal,stop,vowel,training,t,1,80,night,right
R,FL,groom,groom,groom,gloom,stop,nasal,onset,training,,0,81,groom,left
,FL,sends,sends,sends,sense,fricative,fricative,offset,training,,0,82,sends,left
R,FL,sing,sing,sing,sin,fricative,nasal,offset,training,,0,83,sing,left
,CR,clock,clock,clock,clog,stop,stop,offset,training,k,0,84,clock,left
,FL,tomb,tomb,tune,tomb,stop,nasal,offset,training,,1,85,tomb,right
,FL,town,town,town,tone,stop,nasal,vowel,training,,0,86,town,left
,CR,lap,lap,lab,lap,liquid,stop,offset,training,p,1,87,lap,right
,CR,drug,drug,drug,jug,stop,stop,onset,training,g,0,88,drug,left
,FL,fail,fail,fell,fail,fricative,liquid,vowel,training,,1,89,fail,right
,CR,cut,cut,cut,cup,stop,stop,offset,training,t,0,90,cut,left
,FL,bull,bull,bull,ball,stop,liquid,vowel,training,,0,91,bull,left
,FL,breathe,breathe,breeze,breathe,stop,fricative,offset,training,,1,92,breathe,right
,CR,pound,pound,pond,pound,stop,stop,vowel,training,d,1,93,pound,right
V,FL,pain,pain,pain,pen,stop,nasal,vowel,training,,0,94,pain,left
,CR,bag,bag,bag,bat,stop,stop,offset,training,g,0,95,bag,left
,FL,draw,draw,draw,jaw,stop,vowel,onset,training,,0,96,draw,left
R,FL,ten,ten,tan,ten,stop,nasal,vowel,training,,1,97,ten,right
,CR,lip,lip,lip,lib,liquid,stop,offset,training,p,0,98,lip,left
,FL,verve,verve,verb,verve,fricative,fricative,offset,training,,1,99,verve,right
,CR,mob,mob,mop,mob,nasal,stop,offset,training,b,1,100,mob,right
R,FL,fall,fall,fool,fall,fricative,liquid,vowel,training,,1,101,fall,right
,CR,rode,rode,rode,wrote,liquid,stop,offset,training,d,0,102,rode,left
,CR,sad,sad,sad,sat,fricative,stop,offset,training,d,0,103,sad,left
R,FL,time,time,dime,time,stop,nasal,onset,training,,1,104,time,right
V,FL,soon,soon,soon,sewn,fricative,nasal,vowel,training,,0,105,soon,left
,CR,gild,gild,guilt,gild,stop,stop,offset,training,d,1,106,gild,right
R,FL,gloom,gloom,gloom,groom,stop,nasal,onset,training,,0,107,gloom,left
,CR,cop,cop,cob,cop,stop,stop,offset,training,p,1,108,cop,right
V,FL,gun,gun,gum,gun,stop,nasal,offset,training,,1,109,gun,right
,FL,tune,tune,tone,tune,stop,nasal,vowel,training,,1,110,tune,right
,CR,god,god,god,got,stop,stop,offset,training,d,0,111,god,left
,FL,fields,fields,fields,feels,fricative,fricative,offset,training,,0,112,fields,left
,CR,slide,slide,slide,slight,fricative,stop,offset,training,d,0,113,slide,left
R,FL,die,die,tie,die,stop,vowel,onset,training,,1,114,die,right
,FL,robes,robes,ropes,robes,liquid,fricative,offset,training,,1,115,robes,right
R,FL,team,team,team,teen,fricative,nasal,offset,training,,0,116,team,left
,CR,tuck,tuck,tug,tuck,stop,stop,offset,training,k,1,117,tuck,right
,FL,live,live,live,lib,liquid,fricative,offset,training,,0,118,live,left
,CR,mop,mop,mop,mob,nasal,stop,offset,training,p,0,119,mop,left
R,FL,pool,pool,pull,pool,stop,liquid,vowel,training,,1,120,pool,right
R,FL,teen,teen,team,teen,fricative,nasal,offset,training,,1,121,teen,right
,CR,hut,hut,hug,hut,fricative,stop,offset,training,t,1,122,hut,right
V,FL,ram,ram,ram,ran,liquid,nasal,offset,training,,0,123,ram,left
,CR,sit,sit,sick,sit,fricative,stop,offset,training,t,1,124,sit,right
,FL,cards,cards,cars,cards,stop,fricative,offset,training,,1,125,cards,right
,FL,peas,peas,peas,peace,stop,fricative,offset,training,,0,126,peas,left
,CR,lad,lad,lad,lab,liquid,stop,offset,training,d,0,127,lad,left
V,FL,thing,thing,sing,thing,fricative,nasal,onset,training,,1,128,thing,right
,FL,room,room,room,roam,liquid,nasal,vowel,training,,0,129,room,left
R,FL,cane,cane,cane,came,stop,nasal,offset,training,,0,130,cane,left
,CR,feet,feet,feet,feed,fricative,stop,offset,test2,t,0,1,feet2,left
R,FL,gave,gave,cave,gave,stop,fricative,onset,test2,,1,2,gave,right
,CR,bud,bud,but,bud,stop,stop,offset,test2,d,1,3,bud2,right
R,FL,dune,dune,doom,dune,stop,nasal,offset,test2,,1,4,dune,right
R,FL,moss,moss,moss,mouse,stop,fricative,vowel,test2,,0,5,moss,left
R,FL,dune,dune,dune,doom,stop,nasal,offset,test2,,0,6,dune2,left
,CR,duck,duck,dug,duck,stop,stop,offset,test2,k,1,7,duck2,right
R,FL,pen,pen,pen,pan,stop,nasal,vowel,test2,,0,8,pen2,left
R,FL,doom,doom,dune,doom,stop,nasal,offset,test2,,1,9,doom2,right
,CR,tab,tab,tap,tab,stop,stop,offset,test2,b,1,10,tab2,right
R,FL,cave,cave,cave,gave,stop,fricative,onset,test2,,0,11,cave,left
R,FL,wren,wren,ran,wren,liquid,nasal,vowel,test2,,1,12,wren,right
,CR,dug,dug,dug,duck,stop,stop,offset,test2,g,0,13,dug2,left
R,FL,mess,mess,mess,mice,nasal,fricative,vowel,test2,,0,14,mess2,left
R,FL,cave,cave,gave,cave,stop,fricative,onset,test2,,1,15,cave2,right
R,FL,run,run,run,rum,liquid,nasal,offset,test2,,0,16,run2,left
,CR,sack,sack,sack,sag,fricative,stop,offset,test2,k,0,17,sack2,left
R,FL,batch,batch,patch,batch,stop,affricate,onset,test2,,1,18,batch,right
R,FL,run,run,rum,run,liquid,nasal,offset,test2,,1,19,run,right
,CR,feed,feed,feed,feet,fricative,stop,offset,test2,d,0,20,feed2,left
R,FL,goal,goal,coal,goal,stop,liquid,onset,test2,,1,21,goal2,right
,CR,robe,robe,rope,robe,liquid,stop,offset,test2,b,1,22,robe2,right
,CR,sag,sag,sack,sag,fricative,stop,offset,test2,g,1,23,sag2,right
R,FL,ran,ran,ran,wren,liquid,nasal,vowel,test2,,0,24,ran,left
R,FL,hone,hone,home,hone,fricative,nasal,offset,test2,,1,25,hone2,right
,CR,but,but,bud,but,stop,stop,offset,test2,t,1,26,but2,right
R,FL,ran,ran,ran,wren,liquid,nasal,vowel,test2,,0,27,ran2,left
R,FL,patch,patch,patch,batch,stop,affricate,onset,test2,,0,28,patch2,left
,CR,tap,tap,tap,tab,stop,stop,offset,test2,p,0,29,tap2,left
R,FL,gave,gave,cave,gave,stop,fricative,onset,test2,,1,30,gave2,right
R,FL,pan,pan,pan,pen,stop,nasal,vowel,test2,,0,31,pan,left
,CR,rope,rope,rope,robe,liquid,stop,offset,test2,p,0,32,rope2,left
,CR,but,but,but,bud,stop,stop,offset,test1,t,0,1,but,left
R,FL,rum,rum,run,rum,liquid,nasal,offset,test1,,1,2,rum2,right
R,FL,home,home,home,hone,fricative,nasal,offset,test1,,0,3,home,left
,CR,sack,sack,sag,sack,fricative,stop,offset,test1,k,1,4,sack,right
R,FL,mess,mess,mice,mess,nasal,fricative,vowel,test1,,1,5,mess,right
,CR,tab,tab,tab,tap,stop,stop,offset,test1,b,0,6,tab,left
R,FL,moss,moss,moss,mouse,stop,fricative,vowel,test1,,0,7,moss2,left
R,FL,coal,coal,goal,coal,stop,liquid,onset,test1,,1,8,coal2,right
,CR,duck,duck,dug,duck,stop,stop,offset,test1,k,1,9,duck,right
R,FL,goal,goal,goal,coal,stop,liquid,onset,test1,,0,10,goal,left
R,FL,wren,wren,ran,wren,liquid,nasal,vowel,test1,,1,11,wren2,right
R,FL,coal,coal,coal,goal,stop,liquid,onset,test1,,0,12,coal,left
,CR,dug,dug,dug,duck,stop,stop,offset,test1,g,0,13,dug,left
R,FL,batch,batch,patch,batch,stop,affricate,onset,test1,,1,14,batch2,right
R,FL,hone,hone,hone,home,fricative,nasal,offset,test1,,0,15,hone,left
,CR,bud,bud,but,bud,stop,stop,offset,test1,d,1,16,bud,right
R,FL,patch,patch,batch,patch,stop,affricate,onset,test1,,1,17,patch,right
R,FL,pen,pen,pen,pan,stop,nasal,vowel,test1,,0,18,pen,left
R,FL,mice,mice,mess,mice,nasal,fricative,vowel,test1,,1,19,mice,right
,CR,rope,rope,robe,rope,liquid,stop,offset,test1,p,1,20,rope,right
R,FL,mouse,mouse,mouse,moss,nasal,fricative,onset,test1,,0,21,mouse,left
,CR,feed,feed,feed,feet,fricative,stop,offset,test1,d,0,22,feed,left
R,FL,doom,doom,doom,dune,stop,nasal,offset,test1,,0,23,doom,left
R,FL,pan,pan,pen,pan,stop,nasal,vowel,test1,,1,24,pan2,right
,CR,sag,sag,sag,sack,fricative,stop,offset,test1,g,0,25,sag,left
R,FL,home,home,home,hone,fricative,nasal,offset,test1,,0,26,home2,left
,CR,robe,robe,rope,robe,liquid,stop,offset,test1,b,1,27,robe,right
,CR,tap,tap,tap,tab,stop,stop,offset,test1,p,0,28,tap,left
R,FL,mice,mice,mess,mice,nasal,fricative,vowel,test1,,1,29,mice2,right
R,FL,rum,rum,rum,run,liquid,nasal,offset,test1,,0,30,rum,left
R,FL,mouse,mouse,moss,mouse,nasal,fricative,onset,test1,,1,31,mouse2,right
,CR,feet,feet,feed,feet,fricative,stop,offset,test1,t,1,32,feet,right